,query,target_query,generated_query
0,which person directed the movies starred by [John Krasinski],Nancy Meyers|Sam Mendes|George Clooney|Ken Kwapis|Luke Greenfield,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""John Krasinski""}), (m)-[:DIRECTED_BY]->(d:Director)
RETURN d.name"
1,who are movie co-directors of [Delbert Mann],Franco Zeffirelli|Cary Fukunaga|Lewis Milestone|Robert Stevenson,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director{name:'Delbert Mann'}), (m)-[:DIRECTED_BY]->(co:Director) WHERE d<>co RETURN co.name"
2,What are the main languages in [David Mandel] films,German,"MATCH (d:Director {name: 'David Mandel'})<-[:DIRECTED_BY]-(m:Movie)-[:IN_LANGUAGE]->(l:Language)
RETURN DISTINCT l.name"
3,the screenwriter [Mimsy Farmer] co-wrote movies with who,Barbet Schroeder,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer{name:'Mimsy Farmer'}), (m)-[:WRITTEN_BY]->(co:Writer)
WHERE w <> co
RETURN DISTINCT co.name"
4,The films featured by [Shaun White] were in what genres ,Sport|Documentary,"MATCH (a:Actor {name: ""Shaun White""})<-[:STARRED_ACTORS]-(m:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
5,What are the genres of the films directed by [Jerry Lewis],Drama|Comedy|War,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: ""Jerry Lewis""}), (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
6,that appeared in the same movie with [Angie Everhart],Erika Eleniak|Dennis Miller,"MATCH (a1:Actor {name: 'Angie Everhart'})-[:STARRED_ACTORS]-(m:Movie)-[:STARRED_ACTORS]-(a2:Actor)
WHERE a1 <> a2
RETURN DISTINCT a2.name"
7,What are the genres of the films directed by [Mike Nichols],Drama|Horror|Comedy|War|Thriller,"MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director{name:""Mike Nichols""}), (m)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
8,who are the actors of the films written by [John Travis],Haley Bennett|Chace Crawford|Jake Weber,"MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: 'John Travis'}), (m)-[:STARRED_ACTORS]->(a:Actor) RETURN a.name"
9,Which genres make [Al St. John] films fall under,Comedy|Short,"MATCH (a:Actor {name: 'Al St. John'})<-[:STARRED_ACTORS]-(m:Movie)-[:HAS_GENRE]->(g:Genre)
RETURN g.name"
