,query,target_query,generated_query
0,[Clifford Rose] &apos; s films were written by whom,set(),"{'Geoffrey Skelton', 'Peter Weiss', 'Adrian Mitchell'}"
1,When were the films released by [Meredith Edwards] released,set(),{'1949'}
2,The director of [The Brown Bunny] also directed the films,"{'Buffalo 66', 'The Brown Bunny'}","{""Buffalo '66""}"
3,the films run by [Philippe Grandrieux],{'Sombre'},"{'Marc Barbé', 'Elina Löwensohn'}"
4,which films have the same [Jack the Bear] actor,set(),"{""What's the Worst That Could Happen?"", 'Twins', 'Ruthless People', 'Matilda', 'Mission to Mars', 'Impostor', 'Get Shorty', 'The Rainmaker', 'Open Season', 'Snake Eyes', 'Of Mice and Men', 'Living Out Loud', 'Death to Smoochy', 'Tin Men', 'The War of the Roses', 'Terms of Endearment', 'Going Ape!', 'Throw Momma from the Train', 'The Lorax', 'Just Add Water', 'Batman Returns', 'Albino Alligator', ""Other People's Money"", 'Bingo', 'Deck the Halls', 'Renaissance Man', 'Romancing the Stone', 'Solitary Man', 'Apollo 13', 'Screwed', 'The Jewel of the Nile', 'Drowning Mona', 'Ransom', 'Wise Guys', 'Heist', 'The Good Night', 'The Human Stain', 'Hoffa'}"
5,which types are the films written by [Rowland Barber],set(),{'Comedy'}
6,the films written by [Babaloo Mandel] starred which actors,"{'Natalie Portman', 'John Candy', 'Uma Thurman', 'Steve Martin', 'Jason Robards', 'Mary Steenburgen', 'Bruno Kirby', 'Billy Crystal', 'Ashley Judd', 'Dianne Wiest', 'Dabney Coleman', 'Daryl Hannah', 'Eugene Levy', 'David Paymer', 'Lori Petty', 'Nancy Travis', 'Michael J. Fox', 'Geena Davis', 'Olivia dAbo', 'Patricia Wettig', 'Kirk Douglas', 'Daniel Stern', 'Madonna', 'Tom Hanks', 'Stockard Channing', 'Joan Cusack'}","{'Natalie Portman', 'John Candy', ""Olivia d'Abo"", 'Uma Thurman', 'Steve Martin', 'Jason Robards', 'Mary Steenburgen', 'Bruno Kirby', 'Billy Crystal', 'Ashley Judd', 'Dianne Wiest', 'Dabney Coleman', 'Daryl Hannah', 'Eugene Levy', 'David Paymer', 'Lori Petty', 'Nancy Travis', 'Michael J. Fox', 'Geena Davis', 'Patricia Wettig', 'Kirk Douglas', 'Daniel Stern', 'Madonna', 'Tom Hanks', 'Stockard Channing', 'Joan Cusack'}"
7,what was the years of [Gary David Goldberg] &apos;s films,set(),"{'2005', '1995', '1989'}"
8,which types are [Anthony Hickox] films,set(),"{'Thriller', 'Crime', 'Adventure', 'Action', 'Comedy'}"
9,What movies are directed by the same director of [Finding Neverland],"{'Stay', 'Machine Gun Preacher', 'Monsters Ball', 'World War Z', 'Everything Put Together', 'Quantum of Solace', 'Finding Neverland', 'The Kite Runner'}","{'Stay', 'Machine Gun Preacher', 'World War Z', 'Everything Put Together', 'The Kite Runner', 'Quantum of Solace', ""Monster's Ball""}"
10,What films share the same [I Wanna Hold Your Hand] director,"{'A Christmas Carol', 'What Lies Beneath', 'Back to the Future Part III', 'Who Framed Roger Rabbit', 'Forrest Gump', 'Contact', 'Flight', 'Romancing the Stone', 'Death Becomes Her', 'Beowulf', 'Back to the Future', 'Back to the Future Part II', 'Used Cars', 'Cast Away', 'I Wanna Hold Your Hand', 'The Polar Express'}","{'A Christmas Carol', 'What Lies Beneath', 'Back to the Future Part III', 'Back to the Future Part II', 'Who Framed Roger Rabbit', 'Forrest Gump', 'Flight', 'Beowulf', 'Death Becomes Her', 'Back to the Future', 'Contact', 'Romancing the Stone', 'Cast Away', 'The Polar Express', 'Used Cars'}"
11,the films staged by [Rita Wilson] were released for years ,set(),{'1996'}
12,What were the release dates for [Eric Mandelbaum] directed films,{'Winter of Frozen Dreams'},{'2009'}
13,who are the actors of the films written by [Bob Peterson],"{'Bob Peterson', 'Jordan Nagai', 'Edward Asner'}","{'Jordan Nagai', 'Edward Asner'}"
14,the films share the same actor as [Avalanche],"{'Pretty Maids All in a Row', 'The Lawless Breed', 'Vigilante', 'Widows Peak', 'Be Kind Rewind', 'Ice Station Zebra', 'All That Heaven Allows', 'Gun Fury', 'Diamond Men', 'Lakeboat', 'Alligator', 'The Last Unicorn', 'Seconds', 'New York Stories', 'Rosemarys Baby', 'A Fine Pair', 'Strange Bedfellows', 'The Great Gatsby', 'Something of Value', 'A Midsummer Nights Sex Comedy', 'Send Me No Flowers', 'The Undefeated', 'The Black Hole', 'Written on the Wind', 'September', 'Giant', 'Jackie Brown', 'Alice', 'Mans Favorite Sport?', 'Avalanche', 'Zelig', 'Tobruk', 'Medium Cool', 'Hannah and Her Sisters', 'Magnificent Obsession', 'Pillow Talk', 'A Gathering of Eagles', 'Miami Rhapsody', 'Secret Ceremony', 'A Wedding', 'See No Evil', 'The Last Sunset', 'Husbands and Wives', 'The Secret Life of Zoey', 'Supernova', 'Lover Come Back', 'Darling Lili', 'Battle Hymn', 'Come September', 'Bend of the River'}","{'Pretty Maids All in a Row', 'Vigilante', 'The Lawless Breed', 'Be Kind Rewind', 'Alligator', 'Gun Fury', 'Ice Station Zebra', 'Lakeboat', 'All That Heaven Allows', 'Diamond Men', 'The Last Unicorn', 'Seconds', 'New York Stories', 'The Great Gatsby', 'Strange Bedfellows', 'A Fine Pair', 'Something of Value', 'Send Me No Flowers', 'The Undefeated', 'The Black Hole', 'Written on the Wind', 'September', ""Widows' Peak"", 'Giant', 'Jackie Brown', 'Alice', 'Zelig', 'Hannah and Her Sisters', 'Tobruk', ""Man's Favorite Sport?"", 'Medium Cool', 'Magnificent Obsession', 'Pillow Talk', 'Miami Rhapsody', 'A Gathering of Eagles', 'Secret Ceremony', 'A Wedding', ""A Midsummer Night's Sex Comedy"", 'See No Evil', 'The Last Sunset', ""Rosemary's Baby"", 'Husbands and Wives', 'The Secret Life of Zoey', 'Supernova', 'Lover Come Back', 'Come September', 'Darling Lili', 'Battle Hymn', 'Bend of the River'}"
15,which person directed the films directed by [Jane Seymour],set(),"{'Shekhar Kapur', 'Zoltan Korda', 'Ellie Kanner', 'Harold Young', 'Sam Wanamaker', 'Don Sharp', 'Dermot Mulroney', 'Jeannot Szwarc'}"
16,which types are the films written by [Anthony Stacchi],set(),"{'Animation', 'Comedy', 'Adventure'}"
17,which led the films staged by [Margot Steinberg],set(),{'Richard Attenborough'}
18,who has written the films directed by [Niki Caro],"{'Niki Caro', 'Clara Bingham', 'Michael Seitzman', 'Witi Ihimaera', 'Laura Leedy'}","{'Michael Seitzman', 'Clara Bingham', 'Witi Ihimaera', 'Laura Leedy'}"
19,Who directed the films made by [Jacqueline Pearce],set(),{'John Gilling'}
20,which appears in the films written by [Angelo Pizzo],"{'Hoosiers', 'The Game of Their Lives', 'Rudy'}","{'Gene Hackman', 'Ned Beatty', 'Barbara Hershey', 'Dennis Hopper', 'Sean Astin'}"
21,What types are written by [Stephen Carpenter],{'The Man'},"{'Crime', 'Comedy', 'Drama'}"
22,which appears in the films written by [Howard Sheehan],{'PT 109'},"{'Robert Culp', 'James Gregory', 'Cliff Robertson', 'Ty Hardin'}"
23,the films staged by [Stefano Dionisi] have been written by whom,set(),{'Gérard Corbiau'}
24,The [Flashpoint] actor also appears in which movies,set(),"{'Coma', 'Front of the Class', ""Pharaoh's Army"", 'Rollover', 'Payday', ""A Soldier's Daughter Never Cries"", ""Heaven's Gate"", 'The Man Who Fell to Earth', 'Hair', 'The Seduction of Joe Tynan', 'A Streetcar Named Desire', 'Pork Chop Hill', 'Dolphin Tale 2', 'The Sailor Who Fell from Grace with the Sea', 'Dead Heat', 'Blume in Love', 'Millennium', 'Coming Apart', 'Trouble in Mind', 'Prince of the City', 'Smooth Talk', 'Forty Shades of Blue', 'Men in Black II', 'One-Trick Pony', 'The Deep End of the Ocean', 'The Beastmaster', 'The Greening of Whitney Brown', 'Barefoot', 'Dolphin Tale', 'A Star Is Born', 'Beach Red', 'Songwriter', 'Deep Rising', 'Big Top Pee-wee', 'Convoy', 'The Phantom', 'Semi-Tough', 'Jinxed!'}"
25,which films have the same screenwriter of [Odd Thomas],set(),"{'Van Helsing', 'The Mummy Returns', 'The Mummy', 'Tom and Huck', 'Deep Rising', 'The Adventures of Huck Finn'}"
26,These are the films that have the same [Cookie's Fortune] actor ,set(),"{'Assassins', 'Paradise Road', 'Non-Stop', 'The Strangers', 'Hamlet', 'Mars Attacks!', 'The Stepford Wives', 'Trust the Man', 'Reversal of Fortune', 'School Ties', 'Dangerous Liaisons', 'The Chamber', 'Fatal Attraction', 'Seventh Son', 'Next', 'The Hours', 'Far from Heaven', 'Air Force One', 'Don Jon', 'Super', 'Scent of a Woman', '101 Dalmatians', 'Vertical Limit', 'Being Flynn', 'Hoodwinked Too! Hood vs. Evil', 'The Three Musketeers', 'Immediate Family', 'Reign Over Me', 'The Natural', 'Hannibal', 'The Ledge', 'Heights', 'What Maisie Knew', 'The Paper', 'Albert Nobbs', 'Laws of Attraction', 'The Forgotten', 'Still Alice', 'Sarah, Plain and Tall', 'Skylark', '102 Dalmatians', 'Hoodwinked!', 'Marie and Bruce', 'The English Teacher', 'Freedomland', 'In Love and War', ""The Gun in Betty Lou's Handbag"", 'Armageddon', 'Roommates', 'Cast a Deadly Spell', 'Savage Grace', 'The Big Chill', 'The Shipping News', 'Maps to the Stars', 'The Prize Winner of Defiance, Ohio', 'The Big Lebowski', 'The Bachelor', 'Heavy', 'The End of the Affair', 'Nine Months', 'Onegin', 'Game Change', 'Chloe', ""Men Don't Leave"", 'Evolution', 'The World According to Garp', 'Tarzan', 'Carrie', 'Anne Frank Remembered', 'The Incredible Hulk', 'Kinsey', 'Mad Love', 'The Safety of Objects'}"
27,which movies have the same screenwriter of [Antonia's Line],set(),{'A Question of Silence'}
28,Who makes films for the writer [Diane Johnson],{'Stanley Kubrick'},"{'Scatman Crothers', 'Jack Nicholson', 'Danny Lloyd', 'Shelley Duvall'}"
29,[Alan Caillou] films have been released for years ,set(),"{'1977', '1989'}"
30,Who directed [Mircea Eliade] &apos;s films,set(),{'Francis Ford Coppola'}
31,What types of films written by [Louis Mellis],set(),"{'Crime', 'Drama'}"
32,Who directed the films directed by [Diana Muldaur],set(),"{'Robert Mulligan', 'John Sturges'}"
33,which are writers of films directed by [Jack Plotnick],"{'Jack Plotnick', 'Kali Rocha', 'Michael Stoyanov', 'Sam Pancake'}","{'Kali Rocha', 'Sam Pancake', 'Michael Stoyanov'}"
34,the actor of [Searching for Debra Winger] also starred in which films,"{'8 Million Ways to Die', 'The Linguini Incident', 'After Hours', 'I-See-You.Com', 'Nowhere to Run', 'Northern Lights', 'Desperately Seeking Susan', 'Gone Fishin', 'Hells Kitchen', 'Searching for Debra Winger', 'The Aviator', 'The Big Blue', 'Nobodys Fool'}","{'8 Million Ways to Die', ""Gone Fishin'"", 'The Linguini Incident', 'After Hours', 'I-See-You.Com', 'Nowhere to Run', 'Northern Lights', ""Nobody's Fool"", 'Desperately Seeking Susan', ""Hell's Kitchen"", 'The Aviator', 'The Big Blue'}"
35,the movies directed by [Sandor Stern] starred who,"{'Cynthia Preston', 'Terry OQuinn', 'David Hewlett'}","{'David Hewlett', ""Terry O'Quinn"", 'Cynthia Preston'}"
36,who has written the films put on stage by [Conrad Veidt],set(),"{'Francis de Croisset', 'Victor Hugo', 'Edward Childs Carpenter', 'Laurence Gross', 'Arthur Wimperis', 'Emeric Pressburger', 'Grace Zaring Stone', 'Donald Ogden Stewart'}"
37,the films played by [Kevin M. Brennan] were in what genres ,{'Its a Disaster'},{'Comedy'}
