,query,target_query,generated_query
0,ce qui fait [Helen Mack] star dans,"""MATCH (a:Actor {name: 'Helen Mack'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""","{'Kiss and Make-Up', 'The Son of Kong', 'Divorce'}"
1,ce qui fait [Doug Collins] star dans,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Doug Collins'}) RETURN m.name""",{'Michael Jordan to the Max'}
2,ce qui fait [Hiromi Nagasaku] star dans,"""MATCH (a:Actor {name: 'Hiromi Nagasaku'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""",{'Doppelganger'}
3,What makes [Sharon Gans] to do,"The query is unclear as it doesn't specify the role of Sharon Gans in the movie industry, whether she is a Director, Writer, or Actor. Please provide a more specific query.",{'Slaughterhouse-Five'}
4,What makes [Haley Joel],"The provided natural language query is ambiguous. It's unclear what information is needed about ""Haley Joel"". For example, are you asking about the movies they've acted in, directed, or written? Please provide more specific information.",{'Abominable'}
5,[Mehdi Nebbou] appears on which movies,"""MATCH (a:Actor {name: 'Mehdi Nebbou'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""",{'English Vinglish'}
6,The films have made [Duong Don] take action in the,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Duong Don' RETURN m.name""",{'Green Dragon'}
7,[Stephen Frears] appears in which film,"The provided natural language query seems to be incorrect based on the provided database schema. Stephen Frears is likely to be a Director, not an Actor, and a Director doesn't ""appear"" in a film. They direct it.

However, if we interpret the query as asking for movies directed by Stephen Frears, the Cypher query would be:

```
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director)
WHERE d.name = ""Stephen Frears""
RETURN m.name
```",{'Great Directors'}
8,What makes [Leandro Firmino] action,The given natural language query seems to be incomplete or ambiguous. It is unclear what exactly is being asked about Leandro Firmino and action. Please provide a complete and clear query.,{'City of God'}
9,What makes [Brendan Coyle] to do,This query is not clear enough to be translated into a Cypher query. Please provide more context or specify the information you want to find about Brendan Coyle.,{'Offside'}
10,Ce qui fait [Ronald Zehrfeld] star dans,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Ronald Zehrfeld'}) RETURN m.name""",{'Inbetween Worlds'}
11,What causes [Edward Chapman] to act in,"The provided query ""What causes [Edward Chapman] to act in"" is not clear and does not specify what specific information needs to be retrieved. It could possibly be asking for the movies Edward Chapman acted in. If that is the case, the following Cypher query should provide the answer:

```cypher
MATCH (a:Actor {name: ""Edward Chapman""})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name
```

This query will return the names of the movies where Edward Chapman is one of the actors.

If the query is asking for something else, please provide more context or clarification.",{'Murder!'}
12,What makes [Larry Fessenden] to do,"This query is ambiguous as it is not specified what kind of role Larry Fessenden has in the movies. They could be a Director, Writer, or Actor. 

Assuming Larry Fessenden is an Actor:

```cypher
MATCH (a:Actor {name: 'Larry Fessenden'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name
```

Assuming Larry Fessenden is a Director:

```cypher
MATCH (d:Director {name: 'Larry Fessenden'})<-[:DIRECTED_BY]-(m:Movie)
RETURN m.name
```

Assuming Larry Fessenden is a Writer:

```cypher
MATCH (w:Writer {name: 'Larry Fessenden'})<-[:WRITTEN_BY]-(m:Movie)
RETURN m.name
```

Please provide more context or specifics for a more precise query.","{'Jug Face', 'Bitter Feast', 'Habit', 'I Sell the Dead'}"
13,[Richard Armitage] appears in which movies,"""MATCH (a:Actor {name: 'Richard Armitage'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""",{'Into the Storm'}
14,What is [Carla Balenda] action in,"The provided natural language query ""What is [Carla Balenda] action in"" is incomplete and does not specify the context or action of Carla Balenda in relation to the database schema. Thus, it is not possible to formulate a corresponding Cypher query.",{'The Whip Hand'}
15,Ce qui fait [Anton Corbijn] star dans,"The query seems to be asking for movies where Anton Corbijn is a star. However, according to the provided database schema, Anton Corbijn can only be a Director, Writer, or Actor. Assuming Anton Corbijn is an actor, the Cypher query would be:

```
MATCH (a:Actor {name: 'Anton Corbijn'})<-[:STARRED_ACTORS]-(m:Movie) 
RETURN m.name
```",{'Joy Division'}
16,What is [Reika Hashimoto] action in,Your natural language query is incomplete. Please provide more details for a proper Cypher query.,{'Survive Style 5+'}
17,What makes [Gwenaëlle Simon] to do,The provided natural language query is not clear. Could you please provide more details or clarify your request?,"{""A Summer's Tale""}"
18,What the films [Vince Edwards] an actor in ,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Vince Edwards' RETURN m.name""","{'The Killing', 'The Desperados'}"
19,What the films have done [Dendrie Taylor] to do in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Dendrie Taylor' RETURN m.name""",{'Torn'}
20,the films have made [Eddie Marsan] act in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:'Eddie Marsan'}) RETURN m.name""",{'The Disappearance of Alice Creed'}
21,Ce qui fait [Patty Duke] star dans,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:'Patty Duke'}) RETURN m.name""",{'Valley of the Dolls'}
22,[Owen Moore] is shown in which movies,"""MATCH (a:Actor {name: 'Owen Moore'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name""",{'She Done Him Wrong'}
23,What makes [Pamela Tola],"This query is ambiguous as it does not specify the role of Pamela Tola in a movie. It should specify whether she is a director, writer, or actor in the movie. However, assuming Pamela Tola is an actor, the Cypher query would be:

```
MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Pamela Tola'})
RETURN m.name
```","{'Frozen Land', 'Lapland Odyssey'}"
24,the films have made [Pam Ferris] take action in the,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Pam Ferris' RETURN m.name""",{'Meantime'}
25,what is [Tobe Hooper] appear in,"This query is a bit ambiguous, as Tobe Hooper could potentially be a director, writer, or actor. However, assuming that we are looking for movies where Tobe Hooper is the director, the Cypher query would be:

```cypher
MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Tobe Hooper'}) RETURN m.name
``` 

If we are looking for movies where Tobe Hooper is a writer, the Cypher query would be:

```cypher
MATCH (m:Movie)-[:WRITTEN_BY]->(w:Writer {name: 'Tobe Hooper'}) RETURN m.name
``` 

If we are looking for movies where Tobe Hooper is an actor, the Cypher query would be:

```cypher
MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Tobe Hooper'}) RETURN m.name
``` 

You will need to choose the correct query based on the context of the question.",{'Body Bags'}
26,what makes [Amanda Peterson] appear in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Amanda Peterson'}) RETURN m.name""","{""Can't Buy Me Love""}"
27,What makes [Earle Hodgins] to do,"The given natural language query is not clear about what information is needed about Earle Hodgins. Please specify whether you want to know which movies he directed, wrote, or acted in, or if you want some other information about him.",{'Paradise Canyon'}
28,What makes [Tatanka Means] to do,"The query is not clear about what exactly is expected. Tatanka Means could be an actor, director, or writer. Let's assume Tatanka Means is an actor and you want to know which movies he has acted in.

The Cypher query would be:

```cypher
MATCH (a:Actor {name: 'Tatanka Means'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
```

This query will return the names of all movies that Tatanka Means has acted in. 

If Tatanka Means is a director or a writer, you need to replace the entity 'Actor' with 'Director' or 'Writer' and the relationship 'STARRED_ACTORS' with 'DIRECTED_BY' or 'WRITTEN_BY' respectively.",{'Tiger Eyes'}
29,What the films have done [Peter Graves] to act in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Peter Graves' RETURN m.name""","{'Killers from Space', 'The Five Man Army', 'Number One with a Bullet', 'Beginning of the End', 'Airplane!', 'It Conquered the World'}"
30,[David Kelly] appears on which movies,"```
MATCH (a:Actor {name: 'David Kelly'})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name
```",{'Stardust'}
31,What the movies have made [André Hennicke] star in,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'André Hennicke'}) RETURN m.name""",{'Antibodies'}
