,query,target_query,generated_query
0,What does [Grégoire Colin] appear in,Before the Rain,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Grégoire Colin'}) RETURN m.name
1,[Joe Thomas] appeared in which films,The Inbetweeners Movie|The Inbetweeners 2,MATCH (a:Actor {name: 'Joe Thomas'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
2,which movies have made [Michelle Trachtenberg] star in,Inspector Gadget|Black Christmas|Ice Princess|Harriet the Spy|The Scribbler,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Michelle Trachtenberg'}) RETURN m.name
3,ce qui fait [Helen Mack] star dans,The Son of Kong|Kiss and Make-Up|Divorce,"""MATCH (a:Actor {name: 'Helen Mack'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"""
4,The films have done [Shahid Kapoor] to act in,Haider|Jab We Met|Chance Pe Dance,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Shahid Kapoor'}) RETURN m.name
5,[Brendan Gleeson] appeared in which films,The Raven|Lake Placid|Calvary|The Smurfs 2|Stonehearst Asylum|The Grand Seduction|The General|Six Shooter|Harrison's Flowers|Into the Storm|The Tiger's Tail,"MATCH (a:Actor {name: ""Brendan Gleeson""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
6,What the films make [Paresh Rawal] appear in,Table No. 21|Cheeni Kum,MATCH (a:Actor {name: 'Paresh Rawal'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
7,ce qui fait [Doug Collins] star dans,Michael Jordan to the Max,"""MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Doug Collins'}) RETURN m.name"""
8,What the films do [Brigitte Nielsen] appear in,Cobra|Red Sonja,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""Brigitte Nielsen""}) RETURN m.name"
9,[Mona McKinnon] appears in which film,Plan 9 from Outer Space,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Mona McKinnon""}) RETURN m.name"
10,The films have made [Christina Ricci] take action in the,Sleepy Hollow|Monster|Black Snake Moan|Buffalo '66|After.Life|Now and Then|The Opposite of Sex|Bel Ami|Prozac Nation|The Man Who Cried|Pecker|Pumpkin|The Gathering|That Darn Cat|Desert Blue|Miranda|The Last of the High Kings|All's Faire in Love|Around the Block,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""Christina Ricci""}) RETURN m.name"
11,[Brian Backer] appears in which movies,Moving Violations,MATCH (a:Actor {name: 'Brian Backer'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
12,What movies do [William Atherton] appear in,Die Hard 2|The Sugarland Express|The Day of the Locust|Buried Alive|The Citizen,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'William Atherton'}) RETURN m.name
13,What causes [Jeremy Piven] to act in,So Undercover|Keeping Up with the Steins|Just Write,"MATCH (a:Actor{name:""Jeremy Piven""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
14,what movies have made [Roger Bart] star in,Excision,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Roger Bart""}) RETURN m.name"
15,[Ruggero Raimondi] appears in what films,Carmen,"MATCH (a:Actor {name: ""Ruggero Raimondi""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
16,The films have made [Robert Strauss] act in,Stalag 17|Attack,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Robert Strauss""}) RETURN m.name"
17,The films have made [Aleksandr Gordon] take action in the,The Killers,MATCH (m:Movie)-[:DIRECTED_BY]->(d:Director {name: 'Aleksandr Gordon'}) RETURN m.name
18,What makes [Stephen Furst] action in,The Dream Team,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""Stephen Furst""}), (m)-[:HAS_GENRE]->(g:Genre{name:""action""}) RETURN m.name"
19,ce qui fait [Hiromi Nagasaku] star dans,Doppelganger,"""MATCH (a:Actor {name: 'Hiromi Nagasaku'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"""
20,what the movies do [Claude Akins] appear in,Battle for the Planet of the Apes|Comanche Station|A Man Called Sledge,"MATCH (a:Actor {name: ""Claude Akins""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
21,films have [Arjun Rampal] to act in,Ra.One|Om Shanti Om|Don|Raajneeti|D-Day|Aankhen|Heroine,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Arjun Rampal' RETURN m.name
22,What the films have [Chris O'Donnell] an actor in,Scent of a Woman|Vertical Limit|Kinsey|The Three Musketeers|School Ties|The Bachelor|Cookie's Fortune|The Chamber|In Love and War|Mad Love|Men Don't Leave,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Chris O'Donnell""}) RETURN m.name"
23,What makes [May Robson],A Star Is Born|Wife vs. Secretary,MATCH (m:Movie)-[:DIRECTED_BY|:WRITTEN_BY|:STARRED_ACTORS]-(p {name: 'May Robson'}) RETURN m.name
24,What films have made [Melvin Van Peebles] star in,Sweet Sweetback's Baadasssss Song,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Melvin Van Peebles""}) RETURN m.name"
25,what does [Tannishtha Chatterjee] appear in,"Brick Lane|Road, Movie","MATCH (a:Actor {name: ""Tannishtha Chatterjee""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
26,What the films have [Michael Tully] an actor in ,Septien,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = 'Michael Tully' RETURN m.name
27,What the films have [Dan Petronijevic] an actor in,Cottage Country,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name: 'Dan Petronijevic'})
RETURN m.name"
28,The films have made [Phil Silvers] take action in the,A Funny Thing Happened on the Way to the Forum|A Lady Takes a Chance|Top Banana,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Phil Silvers""}) RETURN m.name"
29,What films do [James B. Schwartz] appear in,Faces of Death IV,"MATCH (a:Actor {name: ""James B. Schwartz""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
30,Which films have made [Piolo Pascual] star in,On the Job,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Piolo Pascual""})
RETURN m.name"
31,What the films have [Eiji Funakoshi] an actor in ,Fires on the Plain,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Eiji Funakoshi""}) RETURN m.name"
32,What the movies do [Richard Roundtree] appear in,Shaft|Q|An Eye for an Eye|Shaft in Africa,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Richard Roundtree""}) RETURN m.name"
33,What the movies have made [Darren McGavin] star in,Billy Madison|The Night Stalker|Mrs. Pollifax-Spy|The Challenge,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Darren McGavin""}) RETURN m.name"
34,films have made [Stéphane Demers] act in,The Left-Hand Side of the Fridge,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Stéphane Demers""}) RETURN m.name"
35,What does [Ximena Ayala] appear in,The Amazing Catfish,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Ximena Ayala'}) RETURN m.name
36,This is what makes [Nell Cattrysse] star in,The Broken Circle Breakdown,MATCH (a:Actor {name: 'Nell Cattrysse'})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name
37,What makes [Sharon Gans] to do,Slaughterhouse-Five,"The query is unclear as it doesn't specify the role of Sharon Gans in the movie industry, whether she is a Director, Writer, or Actor. Please provide a more specific query."
38,What causes [Beatrice Lillie] to act in,Exit Smiling,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""Beatrice Lillie""}) RETURN m.name"
39,What the movies made [Caroline Aaron] star in,A Modern Affair,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: 'Caroline Aaron'}) RETURN m.name
40,What the films make [Celia Montalván] appear in,Toni,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:""Celia Montalván""}) RETURN m.name"
41,What the films did [Martín Adjemián] take action in,La Ciénaga,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)
WHERE a.name = ""Martín Adjemián""
RETURN m.name"
42,[Judi Dench] appears in which movies,Skyfall|Philomena|The Best Exotic Marigold Hotel|Notes on a Scandal|The Shipping News|Iris|Mrs Henderson Presents,"MATCH (a:Actor {name: ""Judi Dench""})<-[:STARRED_ACTORS]-(m:Movie) 
RETURN m.name"
43,what is [Marlee Matlin] appear in,Children of a Lesser God|Hear No Evil|Dead Silence,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:'Marlee Matlin'}) RETURN m.name
44,The films have [Fabiola Quiroz] to act in,Who the Hell Is Juliette?,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name: 'Fabiola Quiroz'}) RETURN m.name
45,the films have [Carroll Ballard] to act in,Fog City Mavericks,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor) WHERE a.name = ""Carroll Ballard"" RETURN m.name"
46,What the movies have done [Nicole Grimaudo] to act in,Loose Cannons,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Nicole Grimaudo""}) RETURN m.name"
47,The films have done [Agnes Ayres] to act in,The Sheik,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Agnes Ayres""}) RETURN m.name"
48,the films have [Audra Lindley] to act in,Desert Hearts|The Heartbreak Kid,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor)
WHERE a.name = 'Audra Lindley'
RETURN m.name"
49,What the films did [Max Elliott Slade] take action in,3 Ninjas,"MATCH (a:Actor {name: ""Max Elliott Slade""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
50,What the movies made [Knut Berger] star in,Walk on Water,MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor{name:'Knut Berger'}) RETURN m.name
51,Which movies made [Tamara Toumanova] star in,Days of Glory,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Tamara Toumanova""}) RETURN m.name"
52,What the movies [Ralf Harolde] appear in,Safe in Hell,"MATCH (a:Actor {name: ""Ralf Harolde""})<-[:STARRED_ACTORS]-(m:Movie) RETURN m.name"
53,What the films did [Sophie Rois] star in,The Inheritors,"MATCH (a:Actor {name: ""Sophie Rois""})<-[:STARRED_ACTORS]-(m:Movie)
RETURN m.name"
54,what causes [Marguerite Churchill] to appear in,Dracula's Daughter|Charlie Chan Carries On,"MATCH (m:Movie)-[:STARRED_ACTORS]->(a:Actor {name: ""Marguerite Churchill""}) RETURN m.name"
